吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
委内瑞拉蚁鸟	纲	鸟纲	【中文名称】委内瑞拉蚁鸟【拉丁学名】Myrmecizadisjuncta【命名时间】Friedmann,1945【英文名称】YapacanaAntbird【科属分类】脊索动物门、鸟纲、雀形目、蚁鵙科。
紫革耳	纲	担子菌纲	紫革耳别名：光革耳、蘑菇，真菌类担子菌纲伞菌目伞菌科。
小猎龙	纲	爬行纲	小猎龙是脊索动物门、爬行纲、蜥臀目动物。意为“迷你的猎人”，是种兽脚亚目恐龙，化石被发现于蒙大拿州的Cloverly组，年代为早白垩纪。小猎龙是已知最原始的偷蛋龙科恐龙。
红顶雀属	纲	鸟纲	【中文名称】红顶雀属【拉丁学名】Coryphospingus【命名者及时间】Müller,1776【科属分类】脊索动物门、鸟纲、雀形目、鹀科。
喀麦隆蹄蝠	纲	哺乳纲	喀麦隆蹄蝠，哺乳纲、翼手目、菊头蝠科的一属，而与蹄蝠属（三叉蹄蝠）同科的动物尚有大耳无尾蹄蝠属（大耳无尾蹄蝠）、金蹄蝠属（金蹄蝠）、无尾蹄蝠属（无尾蹄蝠）、非洲三叉蝠属（非洲三叉蝠）等之数种哺乳动物。
丝背冠鳞单棘鲀	纲	辐鳍鱼纲	丝背冠鳞单棘鲀（Stephanolepiscirrhifer） ，又称丝背细鳞鲀，是辐鳍鱼纲鲀形目四齿鲀科的一种鱼类，分布于西太平洋区，由日本至东中国海及台湾。
长趾麦鸡	纲	鸟纲	长趾麦鸡是鸟类的一种，【科属分类】脊索动物门、鸟纲、鸻形目、鸻科、麦鸡属。
黄金蛙	纲	两栖纲	黄金蛙是两栖纲无尾目的动物，成体无尾，卵产于水中，体外受精，孵化成蝌蚪，用腮呼吸，经过变态，成体主要用肺呼吸，兼用皮肤呼吸。黄金蛙是巴拿马的国宝级动物，它的形象随处可见。但是生物学家近来发现，一种致命菌类的蔓延可能造成黄金蛙的灭绝。
阔体疣鳞苔	纲	苔纲	阔体疣鳞苔，拉丁名为ColoiejeunealatistulaZhu，是苔藓植物门苔纲的一种植物。
带凤螺	纲	腹足纲	带凤螺，拉丁名StrombusvittatusLinnaeus。生物学分类：软体动物门腹足纲中腹足目凤螺科凤螺属（拉丁文：MolluscaGastrorodaMesogastropodaStrombidaeStrombus）。
双胸蚓属	纲	寡毛纲	双胸蚓属（Bimastus）是环节动物门（Annelida）、寡毛纲（Oligochaeta）、后孔寡毛目（Opisthopora）、正蚓科（Lumbricidae）的1属。
枝核棘吻科	纲	始新棘头虫纲	枝核棘吻科（Dendronucleatidae）是棘头动物门、始新棘头虫纲、新棘头虫目的一科。
短毛莫花金龟	纲	昆虫纲	短毛莫花金龟是昆虫纲鞘翅目金龟子科的一种昆虫。
海芋属	纲	单子叶植物纲	海芋属（拉丁文名：Alocasia），别名：姑婆芋属，山芋属，是单子叶植物纲、天南星科的一属，多年生热带草本。
蝙蝠属	纲	哺乳纲	蝙蝠属（大蝙蝠），哺乳纲、翼手目、蝙蝠科的一属，而与蝙蝠属（大蝙蝠）同科的动物尚有、毛翼管鼻蝠属（毛翼管鼻蝠）、南蝠属（南蝠）、帆耳蝠属（帆耳蝠）等之数种哺乳动物。
蚊科	纲	昆虫纲	蚊科（学名Culicidae）是昆虫纲双翅目之下的一个科。
雪蝎蛉科	纲	昆虫纲	雪蝎蛉科是拉丁名叫Boreidae属于昆虫纲Insecta长翅目Mecoptera，体小，色暗的一种昆虫。
紫剑纹夜蛾	纲	昆虫纲	紫剑纹夜蛾是动物界，节肢动物门，昆虫纲，鳞翅目，夜蛾科，剑纹夜蛾属动物。
河猪	纲	哺乳纲	是脊索动物门、哺乳纲、偶蹄目动物。分布于非洲撒哈拉沙漠以南的大部分地区，其中河猪还出现于马达加斯加岛。
台湾锦叶藓	纲	藓纲	台湾锦叶藓是苔藓植物。属于藓纲，曲尾藓目。
花脸雀属	纲	鸟纲	【中文名称】花脸雀属【拉丁学名】Coryphaspiza【命名者及时间】Temminck,1822【科属分类】脊索动物门、鸟纲、雀形目、鹀科。
挪威海螯虾	纲	甲壳纲	挪威海螯虾是甲壳纲十足目动物，学名为Nephropsnorvegicus。
稀有麦穗鱼	纲	硬骨鱼纲	中文名称稀有麦穗鱼PseudorasborafowleriNichols脊椎动物门，硬骨鱼纲动物。
热溶蛋白链霉菌	纲	放线菌纲	热溶蛋白链霉菌拉丁学名Streptomycesthermoproteolyticus为放线菌纲放线菌目链霉菌科链霉菌属基中的一种细菌形态特征为孢子丝直而短孢子卵圆形至杆状表面光滑基丝无色气丝白色雪白色或微烬灰白色。
根枝水绵	科	双星藻科	根枝水绵（学名：SpirogyrarhizobrachialisJao)是双星藻科、水绵属下的一个植物种。
斐梭浦砧草	科	茜草科	斐梭浦砧草（学名：Galiumborealevar.hyssopifolium）为茜草科拉拉藤属下的一个变种。
灰毛萎软紫菀	科	菊科	灰毛萎软紫菀（AsterflaccidusBge.subsp.flaccidusf.griseo-barbatusGriers.），菊科，紫菀属植物的一种。
美国扁柏	科	柏科	美国扁柏，别名美国花柏、劳森花柏，学名chamaecyparislawspnian（A.Murr.）Parl.，柏科，圆柏属，喜排水良好的潮湿土壤。
布氏轮藻	科	轮藻科	布氏轮藻，学名CharabrauriiGmel，轮藻科，轮藻属，分布在四川，青海，湖南，湖北，贵州，云南，山东，山西，海南。
极简榕	科	桑科	极简榕（学名：Ficussimplicissima）为桑科榕属的植物。
黄杨叶栒子	科	蔷薇科	黄杨叶栒子（学名：Cotoneasterbuxifolius）是蔷薇科栒子属的植物。
猴面柯	科	壳斗科	猴面柯（学名：Lithocarpusbalansae）是壳斗科柯属的植物。
多色丽蛛	科	球蛛科	多色丽蛛，Chryssorapulum(Yaginuma，1960)，球蛛科,丽蛛属的一个物种。
圆齿假瘤蕨	科	水龙骨科	圆齿假瘤蕨，学名PhymatopterisincisocrenataChingexW.M.ChuetS.G.Lu，水龙骨科假瘤蕨属植物。
贡山栎	科	壳斗科	贡山栎（学名：QuercuskongshanensisY.C.HsuetH.W.Jen）为壳斗科栎属下的一个种，常绿乔木。
越南紫金牛	科	紫金牛科	越南紫金牛（学名：ArdisiaoxyphyllaWall.var.cochinchinensisPitard）为紫金牛科紫金牛属下的一个变种。
狼蛛属	科	狼蛛科	狼蛛属，Lycosa，蜘蛛目狼蛛科的一个属。
树头芭蕉	科	芭蕉科	树头芭蕉（学名：Musawilsonii）为芭蕉科芭蕉属的植物。
多萼小檗	科	小檗科	多萼小檗（学名：Berberiscircumserratavar.occidentalior）为小檗科小檗属下的一个变种。
豹纹斑叩甲	科	豹纹斑叩甲	豹纹斑叩甲学名Cryptalaussordidus动物界昆虫纲该物种已被列入国家林业局2000年8月1日发布的国家保护的有益的或者有重要经济科学研究价值的陆生野生动物名录。
广东临时救	科	报春花科	广东临时救（学名：Lysimachiacongestifloravar.kwangtungensis）为报春花科珍珠菜属临时救的变种。
度量草属	科	马钱科	度量草属MitreolaL.exSchaeff.，马钱科，8种，分布于美洲、亚洲和大洋洲，我国产3种，其中毛叶度量草M.pedicellataBenth，我国西南部和中部亦产之。
无毛粉条儿菜	科	百合科	无毛粉条儿菜（学名：Aletrisglabra）为百合科粉条儿菜属下的一个种。
紫雷达鱼	科	凹尾塘鳢科	紫雷达鱼，又称：（华丽线塘鳢）（学名：Nemateleotrisdecora）为凹尾塘鳢科线塘鳢属下的一个种。
丽江绿绒蒿	科	罂粟科	丽江绿绒蒿（学名：Meconopsisforrestii），为罂粟科绿绒蒿属下的一个植物种。
簇花獐牙菜	科	龙胆科	簇花獐牙菜（学名：Swertiafasciculata）为龙胆科獐牙菜属下的一个种。
长萼瞿麦	科	石竹科	长萼瞿麦，别名：长萼石竹、长筒瞿麦，拉丁文名：DianthuslongicalyxMiq.石竹科、石竹属多年生草本，高40-80厘米。
近沼生转板藻	科	双星藻科	近沼生转板藻，学名MougeotiasubpaludosaLey，双星藻科，转板藻属，生长于水塘，溪流及水库中。
指柱兰	科	兰科	指柱兰（学名：StigmatodactylussikokianusMaxim.exMakino）属微子目，兰科植物。
镇坪淫羊藿	科	小檗科	镇坪淫羊藿（学名：Epimediumilicifolium）为小檗科淫羊藿属下的一个种。
三裂山矾	科	山矾科	三裂山矾（学名：Symplocosfordii）为山矾科山矾属下的一个种。
暗色薹草	科	莎草科	暗色薹草为莎草科，薹草属下一个种，产于尼泊尔，海拔3000-4300米。
尼氏丘头鲶	科	琵琶鲶科	尼氏丘头鲶是辐鳍鱼纲鲶形目琵琶鲶科的其中一种。
淮通	科	马兜铃科	淮通为马兜铃科马兜铃属植物宝兴马兜铃AristolochiamoupinensisFranch.，以根和茎入药。
斑绿豆粉蝶中华亚种	科	粉蝶科	斑绿豆粉蝶中华亚种（学名：Coliaseratesinensis），粉蝶科，海拔区间720-2980米。
云南假卫矛	科	卫矛科	云南假卫矛（学名：Microtropisyunnanensis(Hu)C.Y.Cheng&T.C.KaoexQ.H.Chen）为卫矛科卫矛属的植物。
柳树寄生	科	桑寄生科	柳树寄生，又名柳叶钝果寄生。为桑寄生科簇生叶组灌木植物，高0.5-1米，全株无毛；二年生枝条黑色，具光泽。
白毛火把花	科	唇形科(Labiatae)	白毛火把花是唇形目(Lamiales)、唇形科(Labiatae)、火把花属(Colquhounia)植物。
米达犬吻蝠	科	犬吻蝠科	米达犬吻蝠由Sundevall命名，为哺乳纲、翼手目、犬吻蝠科、马来犬吻蝠属的动物。
山慈菇属	科	百合科	山慈菇属，学名IphigeniaKunth，百合科山慈菇族一属。
褐斑长鳍天竺鲷	科	天竺鲷科	褐斑长鳍天竺鲷（学名：Archamiafucata）为天竺鲷科长鳍天竺鲷属的鱼类，俗名褐长鳍天竺鲷。
七星鲈鱼	科	梦鲈科	七星鲈鱼，Lateolabraxjaponicus，梦鲈科花鲈属的一个物种。
鲳	科	鲳科	鲳（butterfish），硬骨鱼纲鲈形目(Perciformes)鲳科(Stromateidae)鲳属(Pampus)鱼类的统称。
多蕊木属	科	五加科	TupidanthusHook.f.etThoms.多蕊木属，五加科，只有多蕊木T.calyptratusHook.f.etThoms.1种，分布于印度、孟加拉、缅甸、越南、老挝、柬埔寨和我国云南。
桔实蕾瘿蚊	科	瘿蚊科	桔实蕾瘿蚊又称柚果瘿蚊，属双翅目蕾瘿蚊科，是一种造成沙田柚、蜜柚等柚果严重落果的危险性害虫。该虫以幼虫蛀食果肉，造成柚果腐烂和大量落果，为害损失极其严重。在春季柚类开花时，就要严防桔实蕾瘿蚊的发生为害。
小矮泽芹	科	伞形科	小矮泽芹（学名：Chamaesiumspatuliferumvar.minor）是伞形科矮泽芹属的变种。
重毫泉蝇	科	花蝇科	重毫泉蝇，Pegomyadichaetomyiola（Fan，1982），花蝇科泉蝇属的一个物种。
黑脊蛇	科	游蛇科	黑脊蛇（学名：Achalinusspinalis）为游蛇科脊蛇属的爬行动物。
浙江大青	科	马鞭草科	浙江大青（学名：Clerodendrumkaichianum）是马鞭草科大青属的植物，为中国的特有植物。
云南小花藤	科	夹竹桃科	云南小花藤（学名：Micrechitesmalipoensisvar.parvifolius）为夹竹桃科小花藤属下的一个变种。
西猴绢蝶昆仑亚种	科	绢蝶科	西猴绢蝶昆仑亚种，Parnassiussimokunlunensis(Weiss)，西猴绢蝶的一个亚种。绢蝶科绢蝶属。
簇花茶藨子	科	虎耳草科	簇花茶藨子，RibesfasciculatumSieb.etZucc.，虎耳草科茶藨子属植物。
焕镛报春	科	报春花科	焕镛报春（学名：Primulawoonyoungiana），为报春花科报春花属下的一个种。
广大头蚁	科	蚁科	广大头蚁Pheidolemegacephala，蚁科大头蚁属。
大花耧斗菜	目	毛茛目	大花耧斗菜（AquilegiaglandulosaFisch.exLink.）属毛茛目，毛茛科植物，高20-40厘米，叶片轮廓三角形，苞片披针形至长圆形，花瓣瓣片蓝色或白色，近直立，圆状卵形，蓇葖长2-3厘米，顶端宿存花柱长6-7毫米。
桔梗花拟地甲	目	鞘翅目	昆虫名，为鞘翅目，拟步甲科。分布于东北、华北、西北。桔梗花拟地甲成虫在春天喜食桔梗花苗期幼嫩的茎叶，成株期群集在根茎处啃食寄主的皮层。
狭叶五味子	目	木兰目	狭叶五味子，木兰目五味子科植物，产于四川中南部、云南西部和西北部。
非洲小雀鹰	目	隼形目	非洲小雀鹰，Accipiterminullus（Daudin,1800），隼形目,鹰科,鹰属的一个物种。
浙东副鲚鱼	目	鲱形目	浙东副鲚鱼（Paraclupeachetungensis）是鲱形目（Clupeiformes）、副鲚鱼科（Paraclupeidae）、副鲚鱼属（Paraclupea）的1种。
柳厚壁叶蜂	目	膜翅目	柳厚壁叶蜂PontaniabridgmanniiCameron又名柳瘿叶蜂。属膜翅目，叶蜂科。
锤头鹳	目	鹳形目	锤头鹳（学名：Scopusumbretta）是鹳形目锤头鹳科的涉禽，产于非洲，分布于撒哈拉以南，亦见于马达加斯加和阿拉伯半岛西南部。
球穗草	目	禾本目	球穗草为禾本目、高粱族、筒轴茅亚族、球穗草属一年生草本植物。
美图闪蝶	目	鳞翅目	美图闪蝶，Morphomattogrossensis，Morphomenelausmattogrossensis，节肢动物门、昆虫纲、鳞翅目、闪蝶科、闪蝶属的一种蝴蝶。
虎蛾	目	鳞翅目	虎蛾，Agaristidae，鳞翅目虎蛾科的通称。全世界已知约3000虎种。多分布于热带和亚热带地区。中国已知葡萄修虎蛾和艳修虎蛾为害葡萄。
闪绿宽腹蜻	目	差翅亚目	闪绿宽腹蜻，所属类别：蜻差翅亚目蜻科Libellulidae，虫体大小：体长25mm，翅展52mm。
粉莛报春	目	杜鹃花目	粉莛报春，杜鹃花目报春花科植物，生于林缘或竹林阴湿处。
中华蝠蛾	目	鳞翅目	中华蝠蛾Endoclitasinensis(Moore,1877)，是昆虫纲、鳞翅目、蝙蝠 蛾科蝙蝠蛾属下的昆虫，又称一点蝠蛾、黄斑蝙蝠蛾、蓬莱蝠蛾或甲仙蝠蛾等。
支管双钟水母	目	钟泳水母目	支管双钟水母（A.ernestiTotton），是腔肠动物门（COELENTERA[CNIDARIA]），是钟泳水母目。
墨西哥蛇皮蚓	目	无足目	墨西哥蛇皮蚓Dermophismexicanus(Mexicancaecilian)，属于两栖纲、无足目、蛇螈科、蛇皮蚓属，体长30—60厘米。
巴氏鸡鸠	目	鸽形目	巴氏鸡鸠，Gallicolumbacriniger（Pucheran,1853），脊索动物门、鸟纲、鸽形目、鸠鸽科、鸡鸠属的一个物种。
角箱鲀	目	鲀形目	角箱鲀（Lactoriacornuta），又称牛角，属鲀形目、箱鲀科、角箱鲀属，为一类外貌奇特的鲀鱼。角箱鲀分布于印度西太平洋海域，数量较多，多活动于珊瑚礁石地区，觅食小型猎物及各类有机质碎屑等，其特殊的角状结构可有效抵御天敌。
彩角青步甲	目	鞘翅目	彩角青步甲是昆虫纲鞘翅目步甲科的一种昆虫。
细鳞鲑	目	鲑形目	细鳞鲑（Brachymystaxlenok）因鳞细小而得名。属鲑形目，鲑科，细鳞鱼属。
狄氏夕划蝽	目	半翅目	狄氏夕划蝽，拉丁名是Hesperocorixadistanti(Kirkaldy)，昆虫纲半翅目动物。
